year,month,link,name
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22073,"NYC PARKS CELEBRATES REOPENING OF BOWNE PARK AFTER $3.6 MILLION POND, PLAZA, AND BOCCE COURT IMPROVEMENT PROJECTS"
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22072,PROSPECT PARK ALLIANCE AND NYC PARKS BEGIN RESTORATION OF HISTORIC SOLDIERS’ AND SAILORS’ ARCH AT GRAND ARMY PLAZA
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22071,"NYC PARKS RECEIVES $629,000 FEDERAL GRANT TO ESTABLISH PAID TRAINING PROGRAM FOR COASTAL HABITAT RESTORATION"
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22095,NYC PARKS OPENS NEW QUEENS MOUNTED COMMAND FACILITY AT SUNRISE STABLES IN GEMINI FIELDS
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22094,"NYC PARKS KICKS OFF THE 2023 OUTDOOR POOL SEASON AT HIGHBRIDGE POOL IN WASHINGTON HEIGHTS, MANHATTAN"
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22093,"NYC PARKS, NYC DEP, NYCEDC UNVEIL NEWLY RENOVATED TENNIS COURTS AT JACKIE ROBINSON PARK PLAYGROUND"
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22092,NYC PARKS CELEBRATES THE $5.05 MILLION RENOVATION OF BELLEVUE SOUTH PARK
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22090,THOUSANDS OF NEW YORKERS ENJOY FREE OUTDOOR ACTIVITIES AT ADVENTURES NYC FESTIVAL
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22089,"NYC PARKS OPENS NEW AND IMPROVED BEACH 59 STREET PLAYGROUND IN ROCKAWAY, QUEENS"
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22088,NYC PARKS CELEBRATES UPGRADES AT JULIO CARBALLO FIELDS IN THE BRONX
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22087,BROADWAY’S WICKED AND PARTNERSHIP FOR NEW YORK CITY TEAM UP WITH NYC PARKS ON SUMMER VOLUNTEER EVENT SERIES TO SUPPORT “LETS GREEN NYC” INITIATIVE
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22091,NYC PARKS OFFICIALLY OPENS $5.4 MILLION IN RENOVATIONS TO BATH BEACH PLAYGROUND
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22086,NYC PARKS TO BEGIN PILOT PROGRAM ALLOWING ELECTRIC MICROMOBILITY IN CITY PARKS – STARTING JUNE 20
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22084,NYC PARKS & NYCHA BREAK GROUND ON THE COMPLETE RENOVATION OF THE 1471 WATSON OPEN SPACE
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22083,NYC PARKS ANNOUNCES HIGHEST TREE PLANTING TOTAL IN 6 YEARS
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22082,"NYC PARKS, ELECTED OFFICIALS, COMMUNITY MEMBERS CELEBRATE THE 175TH ANNIVERSARY OF THE HIGH BRIDGE"
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22081,NYC PARKS ANNOUNCES LET’S GREEN NYC CAMPAIGN TO ENGAGE A RECORD NUMBER OF VOLUNTEERS AND ENCOURAGE STEWARDSHIP OF PARKS AND OPEN SPACES
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22080,PHOTOS: NYC PARKS UPGRADES FORDHAM LANDING BASKETBALL COURTS WITH NEW BACKBOARDS
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22079,NYC PARKS ANNOUNCES PUBLIC HEARING AND OPPORTUNITY FOR COMMENT ON PROPOSED NEW PARKS RULES
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22078,NYC PARKS CUTS THE RIBBON ON $3.115 MILLION RENOVATION OF NAPLES PLAYGROUND IN STATEN ISLAND
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22099,A MATCH MADE IN CITY PARKS: NYC’S NEWEST MATCHMAKING WEBSITE LINKS NEW YORKERS WITH GRASSROOTS VOLUNTEER GROUPS TO HELP STRENGTHEN AND BEAUTIFY LOCAL GREENSPACES
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22098,ROUND AND ROUND YOU GO: GET TO KNOW CAROUSELS IN CITY PARKS
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22097,NYC PARKS CELEBRATES THE REOPENING OF MONSIGNOR KETT PLAYGROUND FOLLOWING $9.5 MILLION RENOVATION
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22096,NYC PARKS & NYCHA CELEBRATE THE COMPLETION OF PLAYGROUND AND OPEN SPACE RENOVATIONS IN QUEENS
